trial_id,session,interval_ms,mode,pdr_raw,pdr_unique,pout_1s,pout_2s,pout_3s,tl_mean_s,tl_p95_s,E_per_adv_uJ,avg_power_mW
018,S1,100,FIXED_100,0.822278,0.200095,0.05,0.05,0.05,6.1111,42.4226,20059.0,200.57808418591608
019,S1,500,FIXED_500,1.0,0.500787,0.05,0.05,0.05,6.164233,42.80245,99954.6,200.0276258067769
020,S1,1000,FIXED_1000,1.0,0.500787,0.216667,0.066667,0.066667,7.95885,49.61385,199327.4,199.44990624162872
030,S1,2000,FIXED_2000,0.876972,0.876972,0.8,0.216667,0.133333,12.536133,89.83205,361504.6,180.91179920466152
031,S1,2000,FIXED_2000,0.886435,0.886435,0.983333,0.966667,0.916667,53.970417,172.11575,361734.9,181.0325154478373
022,S4,100,FIXED_100,0.804444,0.199968,0.085106,0.085106,0.070922,4.033489,19.6578,20023.9,200.21496446223827
023,S4,500,FIXED_500,1.0,0.500787,0.056738,0.056738,0.056738,2.033085,8.8936,100768.6,201.6760431982325
024,S4,1000,FIXED_1000,1.0,0.500787,0.255319,0.184397,0.170213,8.836241,65.6606,198948.3,199.09037628418383
025,S4,2000,FIXED_2000,0.858491,0.858491,0.673759,0.390071,0.312057,16.592624,111.53,359182.1,180.36553660450772
